Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
Male,17,7,4,7,3,2,extraverted
Male,19,4,5,4,6,6,serious
Female,18,7,6,4,5,5,dependable
Female,22,5,6,7,4,3,extraverted
Female,19,7,4,6,5,4,lively
Male,18,5,7,7,6,4,lively
Female,17,5,6,5,7,4,extraverted
Female,19,6,6,7,5,4,extraverted
Male,18,5,7,5,6,7,dependable
Female,19,5,5,7,4,5,lively
Male,19,6,7,5,6,3,serious
Male,19,7,6,7,7,6,extraverted
Male,19,7,6,6,5,6,lively
Female,19,6,7,5,5,5,dependable
Female,19,5,5,4,5,4,responsible
Male,19,5,6,4,6,3,extraverted
Female,19,7,7,2,6,5,serious
Female,18,6,7,4,4,2,dependable
Female,19,6,6,6,4,3,responsible
Female,19,5,6,3,3,3,extraverted
Female,19,6,4,6,3,4,responsible
Male,18,4,5,4,3,6,extraverted
Female,19,5,4,5,5,3,responsible
Male,20,5,3,3,4,4,serious
Female,19,6,7,5,5,4,serious
Female,19,7,5,6,6,5,dependable
Female,18,6,4,5,5,4,extraverted
Female,19,4,6,4,7,6,extraverted
Female,27,6,5,6,4,5,lively
Female,17,7,4,7,6,5,lively
Female,21,6,6,3,5,4,extraverted
Male,18,6,5,5,6,1,extraverted
Female,18,6,6,5,6,3,dependable
Male,18,6,3,5,5,4,lively
Male,18,5,7,3,6,4,serious
Female,19,7,6,6,6,5,lively
Female,18,7,6,6,7,5,responsible
Female,18,7,7,5,7,3,responsible
Female,17,7,5,7,7,2,dependable
Female,20,6,5,4,5,5,serious
Male,19,3,5,3,4,2,dependable
Female,17,6,7,6,6,6,extraverted
Female,18,7,5,6,6,4,serious
Female,20,5,7,5,6,3,extraverted
Male,28,6,5,7,6,4,dependable
Male,17,5,6,5,5,3,dependable
Female,18,5,5,4,4,3,responsible
Female,20,7,6,6,4,4,serious
Female,18,6,4,3,6,2,lively
Female,19,6,4,5,6,4,lively
Female,19,3,4,5,5,1,extraverted
Female,18,4,5,4,6,1,extraverted
Male,17,5,4,3,6,6,serious
Female,23,6,7,4,4,5,extraverted
Female,19,7,5,7,4,6,lively
Male,18,7,5,5,4,3,lively
Female,17,5,5,4,6,4,extraverted
Female,18,6,6,5,4,4,dependable
Female,19,5,6,5,4,7,lively
Male,19,5,4,6,1,3,lively
Male,19,3,7,2,6,7,responsible
Female,18,7,6,5,5,5,extraverted
Female,19,6,5,4,5,2,responsible
Male,19,6,6,2,5,6,dependable
Female,18,7,5,5,4,5,serious
Male,19,6,6,5,5,4,serious
Female,17,6,5,5,4,4,responsible
